Species,Pollination
Pulmonaria officinalis,out 
Juncus atratus,out 
Thuja occidentalis,out 
Corylus avellana,out 
Himantoglossum hircinum,out 
Epidendrum fulgens,out 
Pinus sylvestris,out 
Abies balsamea,out 
Castanopsis sclerophylla,out 
Isotria medeoloides,self
Euphorbia telephioides,out 
Silene nutans,out 
Stipa capillata,out 
Excoecaria agallocha,out 
Lathyrus vernus,out 
Silene acaulis,out 
Polygonum viviparum,out 
