Species,bodymass,brainsize
Calidris melanotos,0.06,0.00105672
Calidris acuminata,0.065,0.00102564
Calidris ferruginea,0.057,0.00102564
Limicola falcinellus,0.04,0.00074592
Phalaropus lobatus,0.034,0.0004662
Turnix melanogaster,0.0825,0.00109816
Turnix varius,0.08,0.00107744
Turnix pyrrhothorax,0.0515,0.00059052
Turnix velox,0.046,0.00069412
Stiltia isabella,0.0545,0.0010878
Stercorarius pomarinus,0.7,0.00496244
Stercorarius parasiticus,0.465,0.00403004
Stercorarius longicaudus,0.295,0.00306656
Anous stolidus,0.185,0.00231028
Anous minutus,0.11,0.00156436
Onychoprion fuscata,0.176,0.00240352
Sternula albifrons,0.0475,0.00106708
Hydroprogne caspia,0.5655,0.00485884
Chlidonias hybrida,0.085,0.00153328
Sterna dougallii,0.095,0.00158508
Sterna sumatrana,0.09,0.00135716
Sterna hirundo,0.12,0.00194768
Sterna vittata,0.15,0.00208236
Thalasseus bergii,0.31,0.00348096
Larus pacificus,1.187,0.0070448
Larus dominicanus,0.94,0.00684796
Chroicocephalus novaehollandiae,0.3125,0.00323232
Probosciger aterrimus,0.806,0.021238
Calyptorhynchus banksii,0.67,0.0123802
Calyptorhynchus lathami,0.463,0.01013208
Calyptorhynchus funereus,0.66,0.01562288
Calyptorhynchus latirostris,0.65,0.014763
Calyptorhynchus baudinii,0.66,0.01515668
Callocephalon fimbriatum,0.25,0.00774928
Lophochroa leadbeateri,0.387,0.00877492
Eolophus roseicapillus,0.312,0.00666148
Cacatua tenuirostris,0.565,0.01102304
Cacatua pastinator,0.765,0.01138564
Cacatua sanguinea,0.472,0.00923076
Cacatua galerita,0.728,0.01475264
Nymphicus hollandicus,0.08815,0.00247604
Trichoglossus haematodus,0.125,0.00379176
Trichoglossus chlorolepidotus,0.0869,0.0031598
Psitteuteles versicolor,0.0536,0.002072
Glossopsitta concinna,0.07,0.00297332
Glossopsitta pusilla,0.0415,0.00164724
Glossopsitta porphyrocephala,0.045,0.00195804
Cyclopsitta diophthalma,0.0366,0.0017612
Eclectus roratus,0.507,0.00762496
Geoffroyus geoffroyi,0.152,0.00441336
Alisterus scapularis,0.207,0.00464128
Aprosmictus erythropterus,0.155,0.0039886
Polytelis swainsonii,0.145,0.0034706
Polytelis anthopeplus,0.175,0.0039886
Polytelis alexandrae,0.105,0.00267288
Platycercus caledonicus,0.128,0.00376068
Platycercus elegans,0.124,0.00391608
Platycercus eximius,0.105,0.00311836
Platycercus adscitus,0.1035,0.00317016
Platycercus venustus,0.0925,0.00265216
Platycercus icterotis,0.065,0.00246568
Barnardius zonarius,0.1416,0.00405076
Purpureicephalus spurius,0.115,0.00361564
Northiella haematogaster,0.078,0.0024864
Lathamus discolor,0.065,0.00245532
Psephotus haematonotus,0.0625,0.00204092
Psephotus varius,0.055,0.00185444
Psephotus chrysopterygius,0.04115,0.0014504
Psephotus dissimilis,0.0475,0.00180264
Melopsittacus undulatus,0.026,0.001554
Neopsephotus bourkii,0.045,0.001295
Neophema chrysostoma,0.055,0.00159544
Neophema elegans,0.0425,0.00132608
Neophema petrophila,0.055,0.0017612
Neophema pulchella,0.04,0.00133644
Neophema splendida,0.0385,0.00132608
Pezoporus wallicus,0.0775,0.00275576
Centropus phasianinus,0.377,0.00426832
Eudynamys orientalis,0.243,0.00254856
Scythrops novaehollandiae,0.7475,0.0055426
Chrysococcyx basalis,0.0245,0.00064232
Chrysococcyx osculans,0.032,0.00075628
Chrysococcyx lucidus,0.025,0.00071484
Chrysococcyx minutillus,0.017,0.00060088
Cacomantis castaneiventris,0.03,0.0009842
Cacomantis flabelliformis,0.0538,0.00112924
Cacomantis variolosus,0.038,0.00100492
Cacomantis pallidus,0.0905,0.00148148
Ninox strenua,1.35,0.01185184
Ninox rufa,0.82,0.00873348
Ninox connivens,0.522,0.0066304
Ninox novaeseelandiae,0.234,0.00572908
Tyto tenebricosa,0.585,0.0131572
Tyto novaehollandiae,0.593,0.00877492
Tyto javanica,0.36,0.00674436
Tyto longimembris,0.3715,0.00541828
Ceyx azureus,0.035,0.00101528
Tanysiptera sylvia,0.047,0.00118104
Dacelo novaeguineae,0.281,0.00446516
Dacelo leachii,0.31,0.00438228
Syma torotoro,0.0395,0.00114996
Todiramphus macleayii,0.038,0.00110852
Todiramphus pyrrhopygius,0.0555,0.00117068
Todiramphus sanctus,0.0515,0.00106708
Todiramphus chloris,0.067,0.00138824
Merops ornatus,0.031,0.00064232
Eurystomus orientalis,0.1875,0.00205128
Pitta versicolor,0.1,0.00193732
Menura novaehollandiae,1.024,0.01109556
Atrichornis clamosus,0.043,0.0017612
Cormobates leucophaea,0.0207,0.00083916
Climacteris erythrops,0.023,0.00091168
Climacteris picumnus,0.0318,0.001036
Climacteris melanura,0.032,0.00089096
Climacteris rufa,0.033,0.00106708
Ailuroedus maculosus,0.1692,0.0045584
Ailuroedus crassirostris,0.21,0.00415436
Scenopoeetes dentirostris,0.1655,0.003626
Amblyornis newtonianus,0.079,0.0024864
Sericulus chrysocephalus,0.104,0.00346024
Ptilonorhynchus violaceus,0.198,0.00488992
Ptilonorhynchus maculatus,0.147,0.0037814
Ptilonorhynchus nuchalis,0.2,0.00519036
Malurus cyaneus,0.0106,0.00048692
Malurus splendens,0.0092,0.0004662
Malurus coronatus,0.0105,0.00049728
Malurus melanocephalus,0.0073,0.0004662
Malurus leucopterus,0.0075,0.00040404
Malurus lamberti,0.008,0.00047656
Malurus pulcherrimus,0.00925,0.00043512
Malurus elegans,0.00975,0.00059052
Stipiturus malachurus,0.0076,0.0004144
Amytornis goyderi,0.017,0.00080808
Dasyornis brachypterus,0.045,0.0015022
Dasyornis broadbenti,0.074,0.00194768
Pycnoptilus floccosus,0.0292,0.00122248
Origma solitaria,0.0145,0.0008806
Sericornis citreogularis,0.0169,0.00081844
Sericornis frontalis,0.013,0.00078736
Sericornis magnirostra,0.01,0.0006216
Hylacola pyrrhopygia,0.017,0.00106708
Hylacola cauta,0.0147,0.00083916
Calamanthus fuliginosus,0.0208,0.0007252
Calamanthus campestris,0.014,0.00066304
Pyrrholaemus brunneus,0.012,0.00059052
Chthonicola sagittata,0.0135,0.0006216
Smicrornis brevirostris,0.0057,0.00030044
Gerygone fusca,0.006,0.00035224
Gerygone magnirostris,0.007,0.00043512
Gerygone chloronota,0.0065,0.00037296
Acanthiza lineata,0.0073,0.00052836
Acanthiza nana,0.0065,0.00037296
Acanthiza chrysorrhoa,0.0091,0.00044548
Acanthiza uropygialis,0.006,0.00037296
Acanthiza reguloides,0.0074,0.00040404
Acanthiza inornata,0.007,0.00045584
Acanthiza ewingii,0.007,0.00065268
Acanthiza pusilla,0.0074,0.0004662
Aphelocephala leucopsis,0.0125,0.00055944
Aphelocephala nigricincta,0.011,0.00048692
Pardalotus punctatus,0.009,0.0004144
Pardalotus striatus,0.0106,0.00053872
Acanthorhynchus tenuirostris,0.011,0.00049728
Certhionyx variegatus,0.027,0.00087024
Meliphaga lewinii,0.0333,0.00121212
Meliphaga notata,0.026,0.00090132
Meliphaga gracilis,0.015,0.0006734
Lichenostomus frenatus,0.035,0.00107744
Lichenostomus hindwoodi,0.02345,0.00092204
Lichenostomus chrysops,0.01625,0.00074592
Lichenostomus virescens,0.0253,0.00095312
Lichenostomus unicolor,0.031,0.00084952
Lichenostomus flavus,0.022,0.00073556
Lichenostomus leucotis,0.0224,0.00092204
Lichenostomus melanops,0.0267,0.00095312
Lichenostomus cratitius,0.02,0.00095312
Lichenostomus keartlandi,0.015,0.00071484
Lichenostomus ornatus,0.017,0.000777
Lichenostomus plumulus,0.0167,0.00089096
Lichenostomus fuscus,0.0172,0.00075628
Lichenostomus flavescens,0.0138,0.00053872
Lichenostomus penicillatus,0.0177,0.00085988
Purnella albifrons,0.0175,0.00074592
Manorina melanophrys,0.03,0.00118104
Manorina melanocephala,0.068,0.00192696
Manorina flavigula,0.0603,0.00141932
Acanthagenys rufogularis,0.05,0.00120176
Anthochaera chrysoptera,0.072,0.0017612
Anthochaera phrygia,0.042,0.00106708
Anthochaera carunculata,0.1094,0.0022792
Ramsayornis modestus,0.011,0.00052836
Conopophila albogularis,0.012,0.00053872
Conopophila rufogularis,0.011,0.00045584
Epthianura tricolor,0.011,0.00045584
Epthianura aurifrons,0.011,0.00044548
Epthianura albifrons,0.013,0.00054908
Ashbyia lovensis,0.018,0.00069412
Sugomel niger,0.0095,0.00038332
Myzomela obscura,0.013,0.00052836
Myzomela sanguinolenta,0.008,0.00035224
Gliciphila melanops,0.018,0.00064232
Cissomela pectoralis,0.0095,0.00044548
Lichmera indistincta,0.0103,0.00052836
Phylidonyris novaehollandiae,0.0204,0.0009324
Phylidonyris niger,0.0185,0.0008288
Trichodere cockerelli,0.015,0.0006734
Melithreptus validirostris,0.025,0.00132608
Melithreptus brevirostris,0.0154,0.00070448
Melithreptus albogularis,0.012,0.00065268
Melithreptus lunatus,0.014,0.0006216
Entomyzon cyanotis,0.1033,0.00231028
Philemon buceroides,0.1109,0.0022274
Philemon argenticeps,0.0874,0.0017612
Philemon corniculatus,0.1,0.00205128
