Species,bodymass,brainsize
Heliothis virescens,NA,1.53E-07
Birgus latro,NA,1.05E-25
Arctocephalus australis,NA,0.3075
Arctocephalus forsteri,NA,0.32
Arctocephalus galapagoensis,NA,0.29125
Arctocephalus gazella,NA,0.34
Arctocephalus philippii,NA,0.415
Arctocephalus pusillus,NA,0.36938
Arctocephalus tropicalis,NA,0.32625
Callorhinus ursinus,NA,0.31875
Cystophora cristata,NA,0.455
Eumetopias jubatus,NA,0.66125
Halichoerus grypus,NA,0.3075
Hydrurga leptonyx,NA,0.7125
Leptonychotes weddellii,NA,0.58625
Lobodon carcinophagus,NA,0.58625
Mirounga leonina,NA,1.205
Monachus monachus,NA,0.48
Monachus schauinslandi,NA,0.37
Monachus tropicalis,NA,0.46
Neophoca cinerea,NA,0.38875
Odobenus rosmarus,NA,1.41025
Ommatophoca rossii,NA,0.495
Otaria byronia,NA,0.50625
Phoca caspica,NA,0.1625
Phoca fasciata,NA,0.24875
Phoca groenlandica,NA,0.275
Phoca hispida,NA,0.19625
Phoca largha,NA,0.25375
Phoca sibirica,NA,0.1875
Phoca vitulina,NA,0.27375
Phocarctos hookeri,NA,0.39375
Zalophus californianus,NA,0.405
Alouatta palliata,6.917,0.06378
Alouatta palliata,7.8245,0.06553
Alouatta palliata,7.2575,0.06022
Alouatta palliata,7.031,0.0549
Alouatta palliata,7.484,0.0567
Alouatta palliata,7.2575,0.0567
Alouatta palliata,7.031,0.05313
Ateles geoffroyi,2.268,0.0945
Ateles geoffroyi,1.835,0.091
Ateles geoffroyi,2.268,0.082
Ateles geoffroyi,1.92,0.0955
Ateles geoffroyi,2.155,0.095
Saguinus oedipus,0.37,0.0097
Saguinus oedipus,0.37,0.0092
Aotus trivirgatus,0.63,0.0172
Aotus trivirgatus,0.72,0.0172
Saimiri sciureus,0.58,0.0231
Saimiri sciureus,0.72,0.025
Cebus albifrons,1.47,0.0607
Cebus albifrons,1.77,0.0652
Cebus apella,1.81,0.0626
Cebus apella,2.77,0.0708
Ateles geoffroyi,4.68,0.1077
Ateles geoffroyi,4.76,0.1076
Ateles paniscus,5.22,0.1012
Ateles paniscus,5.04,0.1065
Chlorocebus aethiops,3.22,0.0661
Chlorocebus aethiops,5.23,0.0663
Macaca fascicularis,3.36,0.0619
Macaca fascicularis,4.74,0.07
Macaca mulatta,4.88,0.0852
Macaca mulatta,5.21,0.0907
Macaca arctoides,7.45,0.0998
Macaca arctoides,7.81,0.1016
Papio anubis,12.9,0.148
Papio anubis,16.06,0.1747
Rattus sp.,0.179,0.001537
Meriones unguiculatus,0.054,0.000968
Mus sp.,0.024,0.000403
Cryptoprocta ferox,9.5,0.03678
Atilax paludinosus,3.3,0.02784
Herpestes urva,1.863,0.0223
Paracynictis selousi,1.64,0.01673
Conepatus chinga,1.918,0.01632
Conepatus leuconotus,3.5,0.01852
Mephitis mephitis,1.7,0.01175
Mydaus marchei,1.414,0.01487
Spilogale gracilis,0.42,0.00681
Spilogale putorius,0.341,0.00733
Galictis cuja,1,0.02352
Ictonyx striatus,1.3,0.00817
Mellivora capensis,9,0.08604
Mustela erminea,0.156,0.00342
Poecilogale albinucha,0.34,0.00456
Taxidea taxus,6,0.056
Vormela peregusna,0.45,0.00653
Bassaricyon alleni,1.235,0.01937
Paguma larvata,4.3,0.02647
Viverra tangalunga,10,0.02725
Euphractus sexcinctus,7.99,0.02137
Tolypeutes matacus,1.2,0.00886
Zaedyus pichiy,1.74,0.00798
Atelerix albiventris,0.28,0.00176
Echinosorex gymnura,0.957,0.0055
Mesechinus dauuricus,0.342,0.0029
Manis pentadactyla,4.675,0.01764
Manis tricuspis,2.067,0.0093
Clyomys laticeps,0.201,0.00352
Echimys chrysurus,0.652,0.00502
Makalata didelphoides,0.108,0.00345
Makalata macrura,0.439,0.00389
Mesomys hispidus,0.175,0.00264
Proechimys brevicauda,0.285,0.00295
Coendou prehensilis,4.4,0.01673
Coendou rothschildi,2,0.02085
Sphiggurus vestitus,0.736,0.01171
Atherurus macrourus,2,0.03157
Hystrix africaeaustralis,14.936,0.03571
Hystrix brachyura,8,0.03764
Hystrix cristata,20,0.04955
Hystrix indica,14.65,0.04407
Hystrix sumatrae,3.26,0.02704
Trichys fasciculata,1.56,0.01305
Saguinus oedipus,0.32714,0.00964
Ursus arctos,131.02267,0.33597
Pan troglodytes,60.43316,0.35481
Saguinus geoffroyi,0.63467,0.01427
Panthera tigris,195,0.26973
Tamandua tetradactyla,4.361,0.0275
Pongo pygmaeus,54.22904,0.34199
Hylobates muelleri,5.95488,0.09531
Hylobates syndactylus,12.172,0.1348
Gorilla gorilla,120.975,0.45455
Damaliscus pygargus,62.5,0.2546
Homo sapiens,65.14286,1.25043
Rhynchocyon petersi,0.37,0.0054
Cercocebus agilis,4.7,0.0953
Mandrillus sphinx,11.5,0.1592
Saimiri boliviensis,0.75,0.02406
Trachypithecus francoisi,9.1,0.0944
Colobus guereza,10.28125,0.0839
Colobus angolensis,9.67,0.0744
Tragelaphus eurycerus,253,0.389
Tarsius bancanus,0.0776,0.0027
Nycticebus pygmaeus,0.48,0.0078
Choloepus didactylus,5.07,0.0282
Macropus parma,3.76,0.0174
Wallabia bicolor,16.4,0.0327
Nycticebus coucang,0.6555,0.01274
Perodicticus potto,0.92933,0.01207
Macaca maura,6.846,0.09448
Leontopithecus rosalia,0.51238,0.01305
Alouatta caraya,5.0125,0.0507
Lemur catta,2.09,0.02163
Erythrocebus patas,7.376,0.1002
Callithrix pygmaea,0.13475,0.00464
Loris tardigradus,0.322,0.006
Cheirogaleus medius,0.17967,0.00334
Dasyurus spartacus,0.487,0.0054908
Thylamys pallidior,0.0207,0.00074592
Petaurus biacensis,0.0845,0.00174048
Petaurus abidi,0.284,0.00396788
Phalanger rothschildi,1.244,0.00636104
Strigocuscus pelengensis,0.991,0.00644392
Phalanger intercastellanus,1.434,0.0076146
Spilocuscus kraemeri,1.547,0.011914
Rhynchomeles prattorum,0.907,0.0050764
Planigale tenuirostris,0.0039,0.00014504
Planigale ingrami,0.0041,0.0001554
Planigale gilesi,0.0061,0.00017612
Planigale maculata,0.0067,0.0002072
Ningaui ridei,0.004,0.00024864
Ningaui yvonneae,0.0078,0.00026936
Planigale novaeguineae,0.0086,0.00027972
Sminthopsis virginiae,0.0105,0.00035224
Sminthopsis bindi,0.0136,0.0003626
Sminthopsis douglasi,0.0171,0.0003626
Sminthopsis crassicaudata,0.0133,0.00037296
Sminthopsis macroura,0.017,0.0004144
Sminthopsis hirtipes,0.009,0.00042476
Sminthopsis leucopus,0.0124,0.00042476
Parantechinus roryi,0.0166,0.00043512
Sminthopsis murina,0.0159,0.00045584
Antechinomys laniger,0.0178,0.00048692
Sminthopsis griseoventer,0.0198,0.00050764
Parantechinus macdonnellensis,0.024,0.00050764
Parantechinus rosamondae,0.0199,0.00055944
Antechinus agilis,0.0221,0.00058016
Antechinus bellus,0.0458,0.00065268
Antechinus flavipes,0.0307,0.00066304
Parantechinus bilarni,0.0294,0.0006734
Antechinus melanurus,0.0258,0.0006734
Antechinus subtropicus,0.0291,0.00074592
Antechinus minimus,0.0363,0.00076664
Antechinus leo,0.0602,0.000777
Antechinus stuartii,0.0298,0.00078736
Antechinus naso,0.0363,0.00079772
Phascogale calura,0.0438,0.00094276
Antechinus swainsonii,0.0635,0.00112924
Murexia rothschildi,0.062,0.0010878
Phascolosorex dorsalis,0.0475,0.00114996
Parantechinus apicalis,0.0605,0.0012432
Dasycercus cristicauda,0.07,0.00128464
Dasyuroides byrnei,0.0984,0.001554
Murexia longicaudata,0.2965,0.00174048
Phascogale tapoatafa,0.15,0.00187516
Myoictis melas,0.1311,0.0021238
Neophascogale lorentzi,0.2064,0.0025382
Dasyurus hallucatus,0.513,0.00350168
Dasyurus albopunctatus,0.403,0.00392644
Myrmecobius fasciatus,0.4054,0.004403
Dasyurus geoffroii,0.76,0.00535612
Dasyurus viverrinus,0.813,0.00552188
Dasyurus maculatus,2.599,0.00974876
Sarcophilus harrisii,7.43,0.01666924
Thylacinus cynocephalus,28.496,0.05303284
Marmosa elegans,0.0201,0.00073556
Thylamys elegans,0.025,0.00073556
Monodelphis brevicaudata,0.0646,0.0009324
Marmosa mexicana,0.0467,0.001036
Marmosa murina,0.06,0.0011396
Marmosa rubra,0.06,0.0012432
Caluromys derbianus,0.289,0.0035224
Caluromys philander,0.277,0.003626
Metachirus nudicaudatus,0.39,0.003626
Philander opossum,0.57,0.00396788
Didelphis marsupialis,2.842,0.0065786
Didelphis virginiana,2.797,0.00696192
Cercartetus concinnus,0.0095,0.0003108
Acrobates pygmaeus,0.0089,0.0003626
Cercartetus lepidus,0.0078,0.00037296
Tarsipes rostratus,0.009,0.00037296
Cercartetus nanus,0.012,0.00044548
Cercartetus caudatus,0.0193,0.00073556
Distoechurus pennatus,0.0454,0.00097384
Burramys parvus,0.0366,0.001036
Pseudochirulus canescens,0.141,0.0018648
Pseudochirulus mayeri,0.125,0.00208236
Petaurus breviceps,0.0891,0.00216524
Pseudochirulus schlegeli,0.246,0.0029008
Gymnobelideus leadbeateri,0.0905,0.0029526
Petaurus norfolcensis,0.191,0.00312872
Hemibelideus lemuroides,0.496,0.0032634
Pseudochirulus caroli,0.44,0.0033152
Pseudochirulus forbesi,0.523,0.00348096
Pseudochirulus herbertensis,0.9,0.00447552
Dactylonax tatei,0.252,0.0046102
Pseudocheirus peregrinus,0.526,0.00468272
Pseudochirops albertisii,0.713,0.00484848
Petauroides volans,0.9,0.00485884
Petropseudes dahli,2,0.005219368
Pseudochirops coronatus,1.5,0.00531468
Pseudochirops corinnae,0.943,0.00555296
Petaurus australis,0.39,0.00591556
Dactylonax trivirgata,0.506,0.00603988
Pseudochirops archeri,0.678,0.00608132
Phalanger lullulae,1.4,0.00630924
Potorous platyops,0.8,0.0065268
Dactylonax palpator,0.474,0.00715876
Lagostrophus fasciatus,0.773,0.007252
Phalanger ornatus,1.448,0.00727272
Phalanger orientalis,1.485,0.00763532
Pseudochirops cupreus,1.021,0.00781144
Lagorchestes hirsutus,1.05,0.00804972
Phalanger mimicus,1.473,0.0092204
Phalanger carmelitae,1.754,0.00879564
Bettongia tropica,1.015,0.00924112
Potorous tridactylus,1.283,0.00987308
Phalanger vestitus,1.85,0.00988344
Bettongia penicillata,0.981,0.00990416
Phalanger sericeus,1.896,0.01031856
Wyulda squamicaudata,1.5,0.0104636
Onychogalea lunata,1.313,0.0105672
Bettongia lesueur,1.105,0.010878
Petrogale concinna,1.407,0.011396
Trichosurus vulpecula,1.902,0.011396
Bettongia gaimardi,1.273,0.0121212
Dorcopsulus vanheurni,1.546,0.0122248
Trichosurus caninus,2.515,0.0122248
Aepyprymnus rufescens,1.693,0.0127428
Lagorchestes leporides,1.598,0.0130536
Phalanger gymnotis,3.264,0.013468
Spilocuscus maculatus,3.127,0.0138824
Dorcopsulus macleayi,2.5,0.013986
Setonix brachyurus,1.931,0.0144004
Lagorchestes conspicillatus,2.015,0.014504
Onychogalea fraenata,3.484,0.0152292
Petrogale brachyotis,2.494,0.01554
Dorcopsis atrata,6.333,0.0173012
Onychogalea unguifera,5.242,0.0173012
Spilocuscus rufoniger,6.181,0.0174048
Petrogale mareeba,3.186,0.017612
Petrogale inornata,2.262,0.017612
Thylogale brunii,5,0.01813
Petrogale assimilis,2.765,0.01813
Thylogale stigmatica,4.416,0.0184408
Petrogale godmani,3.276,0.018648
Thylogale browni,3.742,0.0189588
Dendrolagus bennettianus,2.078,0.019166
Macropus parma,3.557,0.0193732
Petrogale lateralis,3.61,0.0198912
Thylogale thetis,3.694,0.0198912
Phascolarctos cinereus,5.888,0.0209272
Dorcopsis muelleri,5.4,0.0211344
Dorcopsis luctuosa,7.392,0.0213416
Petrogale herberti,3.977,0.0219632
Petrogale persephone,5.732,0.022274
Thylogale billardieri,3.618,0.0228956
Dorcopsis hageni,6.43,0.02331
Petrogale xanthopus,4.65,0.023828
Macropus eugenii,4.425,0.0245532
Petrogale penicillata,5.99,0.0247604
Macropus irma,4.684,0.0255892
Macropus greyi,9.016,0.0259
Dendrolagus lumholtzi,4.366,0.0271432
Dendrolagus ursinus,5.009,0.0272468
Dendrolagus matschiei,4.16,0.02849
Dendrolagus goodfellowi,5.968,0.0294224
Dendrolagus spadix,4.947,0.029526
Dendrolagus scottae,8.666,0.0302512
Macropus dorsalis,8.728,0.0302512
Dendrolagus inustus,10.119,0.0311836
Dendrolagus dorianus,7.879,0.0334628
Wallabia bicolor,8.949,0.0340844
Macropus agilis,14.066,0.0344988
Macropus rufogriseus,12.09,0.037296
Macropus parryi,15.194,0.0427868
Lasiorhinus latifrons,19.264,0.057498
Macropus antilopinus,31.286,0.0588448
Macropus fuliginosus,31.04,0.060088
Macropus robustus,35.54,0.061124
Vombatus ursinus,27.192,0.061124
Macropus rufus,44.841,0.0646464
Macropus giganteus,38.977,0.0723128
Dromiciops gliroides,0.0214,0.00083916
Notoryctes caurinus,0.055,0.00080808
Rhyncholestes raphanurus,0.02,0.0006734
Caenolestes fuliginosus,0.0179,0.00070448
Chaeropus ecaudatus,0.327,0.0024864
Perameles bougainville,0.457,0.00332556
Echymipera kalubu,0.697,0.00380212
Echymipera rufescens,0.798,0.00386428
Microperoryctes longicauda,0.479,0.00394716
Macrotis leucura,0.877,0.0044548
Isoodon macrourus,0.822,0.00457912
Echymipera clara,1.207,0.00464128
Perameles gunnii,1.002,0.004662
Perameles nasuta,0.96,0.00513856
Peroryctes raffrayana,0.977,0.00655788
Macrotis lagotis,1.859,0.00680652
Antechinus wilhelmina,0.0182,0.00080808
Isoodon obesulus,0.691,0.00403004
Marmosa mitis,0.0505,0.0007252
Petauroides volans,0.631,0.00521108
Petrogale venusta,2.127,0.017094
Pseudocheirus occidentalis,0.759,0.00578088
Trichosurus fuliginosus,3.492,0.012432
Solenodon paradoxus,0.9,0.00467
Tenrec ecaudatus,0.832,0.00257
Setifer setosus,0.248,0.00151
Hemicentetes semispinosus,0.11,0.00083
Echinops telfairi,0.0875,0.00062
Oryzorictes hova,0.0442,0.00058
Microgale cowani,0.0152,0.00042
Microgale dobsoni,0.0326,0.00056
Limnogale mergulus,0.092,0.00115
Potamogale velox,0.66,0.0041
Erinaceus europaeus,0.86,0.00335
Sorex minutus,0.0053,1.00E-04
Sorex araneus,0.0103,2.00E-04
Blarina brevicauda,0.0185,0.00037
Neomys fodiens,0.0152,0.00032
Sylvisorex megalura,0.0053,0.00015
Sylvisorex lunaris,0.0185,0.00034
Suncus murinus,0.0355,0.00038
Crocidura hildegardeae,0.0106,0.00022
Crocidura russula,0.011,0.00019
Crocidura niobe,0.0115,0.00028
Crocidura jacksoni,0.0126,0.00025
Crocidura occidenlalis,0.028,0.00044
Crocidura giffardi,0.082,0.00055
Crocidura pyrenaicus,0.0575,0.00133
Desmana moschata,0.44,0.004
Talpa europaea,0.076,0.00102
Scalopus aquaticus,0.0396,0.00116
Chrysochloris asiatica,0.049,7.00E-04
Chrysochloris stuhlmanni,0.0398,0.00074
Elephantulus fuscipes,0.057,0.00133
Rhynchocyon stuhlmanni,0.49,0.0061
Tupaia javanica,0.105,0.00255
Tupaia glis,0.15,0.00315
Urogale everetti,0.275,0.00428
Cheirogaleus medius,0.177,0.00314
Cheirogaleus major,0.45,0.0068
Microcebus murinus,0.054,0.00178
Prolemur simus,1.3,0.00953
Lepilemur ruficaudatus,0.915,0.0076
Eulemur fulvus,1.4,0.0233
Eulemur albifrons,1.54,0.0223
Eulemur rufiventer,1.4,0.0266
Eulemur mongoz,1.6,0.0241
Eulemur catta,1.96,0.022
Eulemur macaco,2.04,0.0235
Eulemur variegatus,3,0.0315
Avahi occidentalis,0.86,0.00967
Avahi laniger,1.27,0.01145
Propithecus coquereli,3.48,0.0267
Indri indri,6.25,0.0383
Daubentonia madagascariensis,2.8,0.04515
Loris tardigradus,0.322,0.0066
Nycticebus coucang,0.6,0.0125
Perodicticus potto,1.15,0.014
Galagoides demidovii,0.081,0.00338
Galagoides senegalensis,0.186,0.0048
Galagoides crassicaudatus,0.85,0.0103
Carlito syrichta,0.0875,0.00363
Tarsius spectrum,0.17,0.00465
Artibeus jamaicensis,0.0375,0.00093
Artibeus lituratus,0.0587,0.00105
Carollia perspicillata,0.016,0.00047
Casinycteris argynnis,0.0405,0.00092
Cynopterus brachyotis,0.029,0.00088
Cynopterus horsfieldi,0.053,0.00123
Diaemus youngi,0.0346,0.00097
Diaemus rotundus,0.03,0.00086
Eonycteris spelea,0.05,0.00118
Glossophaga soricina,0.0112,0.00039
Hipposideros bicolor,0.0084,0.00024
Hipposideros caffer,0.0107,0.00032
Hypsignathus monstrosus,0.34,0.0034
Leptonycteris curasoae,0.0245,0.00055
Mimon crenulatum,0.0148,0.00034
Mormoops megalophylla,0.0156,0.00042
Myotis bechsteini,0.0075,0.000265
Myotis bocagei,0.0076,0.00021
Myotis dasycneme,0.015,0.00031
Myotis daubentoni,0.007,0.00023
Myotis myotis,0.025,0.00048
Myotis mystacinus,0.004,0.00016
Myotis nattereri,0.007,0.00022
Myotis nigricans,0.0045,0.00012
Noctilio leporinus,0.0585,0.00126
Nycteris arge,0.0106,0.00036
Nyctalus noctula,0.025,0.000369
Phyllostomus discolor,0.033,0.00089
Pteronotus davyi,0.0106,0.00031
Rhinolophus hipposideros,0.00715,0.000235
Rhynchonycteris naso,0.0043,0.00011
Rousettus aegyptiacus,0.13,0.0026
Saccopteryx bilineata,0.008,0.00022
Sturnira lilium,0.0171,0.00052
Uroderma bilobatum,0.0164,0.00053
Vampyrops helleri,0.0116,0.00042
Vespertilio serotinus,0.0234,0.00031
Vespertilio murinus,0.0333,0.000445
Scotophilus gigas,0.101,0.001046
Miniopterus schreibers,0.0127,0.00029
Tadarida albiventer,0.0115,0.00022
Chaerophon limbatus,0.0133,0.00029
Chaerophon Ieucostigma,0.0265,0.00039
Molossus major,0.013,0.00026
Molossus ate,0.0281,0.00048
Pteropus vampyru,1.22,0.0102
Epomophorus gambianus,0.309,0.00433
Pteropus edwarsi,0.287,0.008
Semnopithecus entellus,7.01,0.1115
Semnopithecus entellus,4.4,0.105
Cercopithecus callitrichus,3,0.0815
Cercopithecus griseoviridis,1.908,0.06
Cercopithecus cynosurus,2.92,0.072
Cercopithecus sabaeus,1.44,0.0748
Cercopithecus rufoviridis,2.05,0.051
Papio cynocephalus,NA,0.197
Cercocebus fuliginosus,3.09,0.1035
Cercocebus fuliginosus,NA,0.1305
Cercocebus fuliginosus,NA,0.1018
Cercocebus fuliginosus,2.25,0.1
Cercocebus fuliginosus,7.735,0.0926
Cercocebus fuliginosus,2.815,0.085
Macaca fascicularis,4.035,0.079
Macaca fascicularis,2.05,0.0757
Macaca fascicularis,1.425,0.0739
Macaca fascicularis,1.21,0.066
Macaca fascicularis,NA,0.068
Macaca fascicularis,1.98,0.0623
Macaca fascicularis,NA,0.056
Macaca fascicularis,2.49,0.0537
Macaca pileatus,2.22,0.0601
Macaca pileatus,1.72,0.0562
Macaca sylvanus,NA,0.0877
Macaca rhesus,NA,0.1057
Macaca rhesus,3.845,0.1008
Macaca rhesus,NA,0.097
Macaca rhesus,1.752,0.0831
Macaca rhesus,2.634,0.082
Macaca rhesus,1.86,0.081
Macaca rhesus,2.625,0.0802
Macaca rhesus,1.985,0.0789
Macaca rhesus,1.42,0.0784
Macaca assamensis,3.655,0.0905
Macaca leonina,2.05,0.09
Macaca nemestrina,6.625,0.117
Ateles paniscus,2.55,0.12
Ateles paniscus,2.035,0.1083
Ateles paniscus,2.305,0.1088
Cebus capucinus,1.92,0.061
Cebus capucinus,0.9697,0.0637
Cebus olivaceus,1.262,0.0725
Sapajus libidinosus,2.645,0.0577
Sapajus libidinosus,2.52,0.0965
Cebus apella,NA,0.0665
Alouatta caraya,2.955,0.0456
Lagothrix lagothricha,2.55,0.0925
Aotus trivirgatus,0.48,0.0155
Saimiri sciureus,0.3285,0.0235
Saimiri sciureus,0.365,0.0212
Callithrix jacchus,0.242,0.009
Callithrix jacchus,0.169,0.0072
Callithrix jacchus,0.225,0.0067
Callithrix jacchus,0.221,0.009
Callithrix jacchus,0.155,0.0073
Callithrix jacchus,0.187,0.0076
Callithrix jacchus,0.235,0.0072
Leontopithecus rosalia,NA,0.014
Leontopithecus rosalia,0.407,0.0127
Midas ursulus,0.225,0.0084
Propithecus coronatus,NA,0.0316
Eulemur macaco,1.29,0.0245
Eulemur macaco,1.2485,0.024
Eulemur macaco,1.94,0.022
Eulemur rufriventer,1.015,0.0249
Eulemur rufriventer,1.79,0.0283
Eulemur albifrons,1.54,0.0223
Eulemur mongoz,1.808,0.0232
Eulemur mongoz,1.305,0.0258
Eulemur mongoz,1.565,0.0231
Lemur catta,2.35,0.0208
Perodicticus potto,0.538,0.0109
Nycticebus tardigradus,0.527,0.0144
Nycticebus tardigradus,0.365,0.0105
Pteropus giganteus,0.382,0.01
Pteropus giganteus,0.414,0.007
Pteropus giganteus,0.325,0.0062
Pteropus giganteus,0.405,0.0063
Pteropus giganteus,0.323,0.0075
Pteropus giganteus,0.38,0.0073
Pteropus giganteus,0.395,0.0068
Erinaceus europaeus,0.718,0.0065
Erinaceus europaeus,0.669,0.0036
Erinaceus europaeus,0.515,0.0035
Erinaceus europaeus,0.497,0.003
Erinaceus europaeus,0.925,0.0033
Erinaceus europaeus,0.92,0.0035
Erinaceus europaeus,0.985,0.0033
Erinaceus europaeus,0.448,0.0035
Erinaceus europaeus,0.69,0.003
Talpa europaea,0.077,0.0015
Ailurus fulgens,5.59,0.0468
Mustela putorius,NA,0.0075
Mustela putorius,0.415,0.0066
Mustela erminea,0.179,0.0046
Mustela erminea,0.098,0.004
Mustela erminea,0.102,0.0033
Galictis vittata,0.92,0.0153
Eira barbara,2,0.0442
Canis mesomelas,8,0.0548
Vulpes vulpes,2.91,0.0468
Vulpes vulpes,2.55,0.0436
Vulpes vulpes,4.235,0.0505
Vulpes vulpes,NA,0.054
Mungos mungo,0.93,0.0108
Paradoxurus hermaphroditus,3.047,0.0237
Paradoxurus hermaphroditus,NA,0.0282
Dasyurus viverrinus,NA,0.0048
Arctictis binturong,NA,0.0424
Herpestes smithii,1.205,0.0146
Genetta pardina,1.032,0.0154
Caracal caracal,7.67,0.0519
Felis silvestris,3.96,0.032
Felis silvestris,3.62,0.03
Felis silvestris,3.46,0.0251
Felis silvestris,3.743,0.0328
Felis silvestris,2.577,0.0285
Felis silvestris,3.48,0.0252
Felis silvestris,3.58,0.0248
Felis silvestris,2.58,0.0215
Panthera leo,84,0.2595
Rubrisciurus rubriventer,0.365,0.0069
Rubrisciurus rubriventer,0.365,0.0065
Sciurus niger,0.328,0.0072
Marmota sibirica,1.89,0.0181
Ictidomys tridecemlineatus,0.2,0.0022
Ictidomys tridecemlineatus,0.115,0.0024
Glis glis,0.148,0.0019
Cricetus cricetus,0.297,0.0022
Rattus norvegicus,0.465,0.00875
Rattus norvegicus,0.254,0.0073
Gerbillus gerbillus,0.095,0.0034
Muscardinus avellanarius,0.013,5.00E-04
Allactaga saliens,0.193,0.0035
Jaculus orientalis,0.098,0.0025
Capromys pilorides,0.155,0.0045
Atherurus africanus,3.629,0.0253
Lagidium viscacia,2.252,0.016
Lagidium viscacia,2.35,0.0152
Lagidium viscacia,3.845,0.0148
Lagidium viscacia,1.395,0.0143
Cuniculus paca,5.635,0.0358
Dolichotis patagonum,NA,0.0305
Cavia porcellus,0.348,0.0064
Cavia porcellus,0.648,0.0041
Cavia porcellus,0.493,0.0038
Cavia porcellus,0.1065,0.0029
Cavia apera,0.088,0.0028
Lepus europaeus,NA,0.0178
Oryctolagus cuniculus,2.844,0.0137
Oryctolagus cuniculus,2.217,0.0106
Oryctolagus cuniculus,0.622,0.00905
Procavia capensis,1.92,0.02
Procavia capensis,0.6,0.0148
Pecari tajacu,NA,0.0853
Sus scrofa,NA,0.1698
Cervus canadensis,200,0.4093
Odocoileus hemionus,NA,0.195
Rusa timorensis,NA,0.1976
Boselaphus tragocamelus,125,0.2555
Boselaphus tragocamelus,125,0.288
Capra aegagrus,NA,0.1306
Capra aegagrus,NA,0.0858
Bos taurus,NA,0.307
Euphractus sexcinctus,7.99,0.0335
Bradypus tridactylus,4.097,0.0249
Trichosurus vulpecula,1.62,0.0114
Macropus robustus,NA,0.0358
Onychogalea fraenata,1.433,0.0135
Didelphis marsupialis,1.7,0.0063
Lumbricus terrestris,0.00609,2.14E-05
Periplaneta americana,9.20E-05,1.95E-07
Melanoplus femurrubrum,0.000458,2.33E-06
Blaberus craniifer,0.004727,9.70E-06
Limax maximus,0.00417,1.33E-05
Rana catesbeiana,0.5199,0.0004625
Phrynosoma coronatum,0.025,0.0001383
Phrynosoma coronatum,0.0249,0.0001269
Quiscalus quiscula aeneus,0.082,0.00292
Sialia sialis,0.034,0.001281
Sialia sialis,0.029,0.001392
Buteo vulpinus,0.558,0.00799
Cathartes aura,0.494,0.0093
Dumetella carolinensis,0.033,0.001412
Serinus canaria,0.0171,0.000848
Serinus canaria,0.0153,0.000564
Molothrus ater,0.066,0.002693
Balearica pavonina,4.071,0.01354
Balearica pavonina,4.825,0.01285
Antigone canadensis,1.651,0.00858
Corvus brachyrhynchos,0.337,0.0093
Alle alle,0.102,0.00193
Alle alle,0.104,0.00192
Anas acuta,0.67,0.0049548
Haliaeetus vocifer,3.5,0.01293
Aquila rapax,2.625,0.01409
Aquila rapax,1.67,0.01362
Aquila rapax,2.438,0.01391
Casmerodius albus,1.03,0.00612
Ardea intermedia,0.525,0.0047
Phoeniconaias minor,1.483,0.00699
Phoeniconaias minor,1.598,0.00805
Gallus bankiva,1.263,0.003916
Gallus bankiva,2.2,0.00355
Alopochen aegyptiaca,1.935,0.00764
Numida meleagris,1.62,0.0042
Larus philadelphia,0.205,0.00249
Larus argentatus,0.535,0.00508
Larus delawarensis,0.72,0.00872
Puffinus griseus,0.268,0.00301
Accipiter striatus,0.52,0.0057
Falco sparverius,0.112,0.00251
Bucorvus leadbeateri,2.15,0.02625
Amazilia tzacatl,0.0048,0.0001998
Gavia stellata,1.53,0.00612
Gavia stellata,1.568,0.00638
Fregata aquila,1.405,0.00945
Mergus serrator,0.77,0.005289
Struthio camelus,123,0.04211
Bubo virginianus,1.177,0.0137
Dendroperdix sephaena,0.208,0.0015
Pelicanus occidentalis,3.29,0.01745
Phasianus colchicus,0.625,0.003289
Sayornis phoebe,0.0181,0.000793
Sayornis phoebe,0.0175,0.00075
Columba livia,0.247,0.002285
Columba livia,0.282,0.002694
Lagopus lagopus,0.542,0.002377
Lagopus lagopus,0.54,0.0028
Turdus migratorius,0.0693,0.00209
Aythya marila,0.787,0.0047859
Passer domesticus,0.02326,0.0010185
Passer domesticus,0.02357,0.0010278
Melospiza melodia,0.021,0.0011
Ciconia abdimii,0.95,0.0073
Ciconia ciconia,3.35,0.01624
Ciconia ciconia,3.334,0.01578
Scopus umbretta,0.3175,0.00393
Leptoptilos crumeniferus,7.13,0.03014
Hirundo rustica,0.0215,0.000904
Hirundo rustica,0.021,0.000879
Anas carolinensis,0.305,0.003116
Sturnus vulgaris,0.05835,0.0018248
Sturnus vulgaris,0.05736,0.0018701
Gyps africanus,5.27,0.0196
Ursus arctos,142.88,0.2339
Ursus maritimus,199.57,0.489
Ursus maritimus,317,0.507
Spilogale arizonae,NA,0.006
Felis silestris,1.542,0.018
Felis silestris,2.885,0.02346
Felis silestris,3.778,0.02837
Felis silestris,5.012,0.02823
Genetta tigrina,1.302,0.01589
Genetta tigrina,1.525,0.01535
Bassariscus astutus,NA,0.0171
Felis silvestris,2.7,0.02848
Acinonyx jubatus,22.2,NA
Acinonyx jubatus,40.82,NA
Nasua narica,NA,0.0233
Nasua narica,6.25,0.04417
Canis latrans,8.51,0.08424
Canis latrans,NA,0.08
