Species,BodyMass,Longevity
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Casuarius casuarius,43.85,NA
Dromaius novaehollandiae,36.5,NA
Alectura lathami,2.3,NA
Leipoa ocellata,2,NA
Coturnix pectoralis,0.105,NA
Excalfactoria chinensis,0.0375,NA
Anseranas semipalmata,2.4,NA
Dendrocygna eytoni,1,NA
Dendrocygna arcuata,0.8,NA
Biziura lobata,1.975,NA
Stictonetta naevosa,0.91,NA
Cereopsis novaehollandiae,5,NA
Cygnus atratus,6.1,NA
Tadorna radjah,0.885,NA
Tadorna tadornoides,1.45,NA
Chenonetta jubata,0.8,NA
Malacorhynchus membranaceus,0.375,NA
Nettapus pulchellus,0.28,NA
Anas rhynchotis,0.65,NA
Anas gracilis,0.4965,NA
Anas castanea,0.65,NA
Anas superciliosa,1,NA
Aythya australis,0.85,NA
Oxyura australis,0.85,NA
Phaethon rubricauda,0.8,NA
Tachybaptus novaehollandiae,0.165,NA
Poliocephalus poliocephalus,0.24,NA
Podiceps cristatus,1.1,NA
Columba leucomela,0.42,NA
Macropygia amboinensis,0.2,NA
Chalcophaps indica,0.135,NA
Phaps chalcoptera,0.335,NA
Phaps elegans,0.205,NA
Phaps histrionica,0.3,NA
Ocyphaps lophotes,0.19,NA
Geophaps plumifera,0.095,NA
Geophaps smithii,0.205,NA
Petrophassa albipennis,0.125,NA
Geopelia cuneata,0.033,NA
Geopelia striata,0.0485,NA
Geopelia humeralis,0.13,NA
Leucosarcia melanoleuca,0.415,NA
Ptilinopus magnificus,0.335,NA
Ptilinopus superbus,0.107,NA
Ptilinopus regina,0.095,NA
Lopholaimus antarcticus,0.575,NA
Podargus strigoides,0.285,NA
Eurostopodus mystacalis,0.13,NA
Eurostopodus argus,0.0975,NA
Caprimulgus macrurus,0.0675,NA
Aegotheles cristatus,0.045,NA
Aerodramus terraereginae,0.0125,NA
Hirundapus caudacutus,0.1175,NA
Oceanites oceanicus,0.035,NA
Pelagodroma marina,0.055,NA
Diomedea exulans,8.59,NA
Thalassarche cauta,4.025,NA
Thalassarche chrysostoma,3.41,NA
Phoebetria palpebrata,2.8,NA
Macronectes giganteus,4.34,NA
Fulmarus glacialoides,0.8,NA
Daption capense,0.44,NA
Halobaena caerulea,0.201,NA
Pachyptila salvini,0.162,NA
Pachyptila desolata,0.152,NA
Pachyptila belcheri,0.149,NA
Pachyptila turtur,0.1279,NA
Procellaria aequinoctialis,1.369,NA
Procellaria cinerea,1.032,NA
Ardenna pacifica,0.465,NA
Ardenna grisea,0.8,NA
Ardenna tenuirostris,0.585,NA
Puffinus gavia,0.266,NA
Lugensa brevirostris,0.357,NA
Pterodroma lessonii,0.692,NA
Pterodroma macroptera,0.58,NA
Pterodroma leucoptera,0.18,NA
Pelecanoides urinatrix,0.15,NA
Eudyptula minor,1.1,NA
Fregata minor,1.44,NA
Sula leucogaster,2.05,NA
Anhinga novaehollandiae,1.5,NA
Microcarbo melanoleucos,0.65,NA
Phalacrocorax carbo,2.15,NA
Phalacrocorax sulcirostris,1,NA
Phalacrocorax varius,2.2,NA
Phalacrocorax fuscescens,1.515,NA
Pelecanus conspicillatus,5.4,NA
Botaurus poiciloptilus,1.16,NA
Ixobrychus dubius,0.0895,NA
Ixobrychus flavicollis,0.3665,NA
Ardea pacifica,0.91,NA
Ardea modesta,1.1615,NA
Ardea intermedia intermedia,0.403,NA
Ardea sumatrana,1.95,NA
Ardea ibis,0.363,NA
Butorides striata,0.225,NA
Egretta novaehollandiae,0.58,NA
Nycticorax caledonicus,0.725,NA
Plegadis falcinellus,0.5325,NA
Threskiornis molucca,1.825,NA
Threskiornis spinicollis,1.36,NA
Platalea regia,1.735,NA
Platalea flavipes,1.871,NA
Pandion cristatus,1.415,NA
Elanus axillaris,0.2605,NA
Lophoictinia isura,0.5675,NA
Hamirostra melanosternon,1.3,NA
Aviceda subcristata,0.3535,NA
Haliaeetus leucogaster,3.35,NA
Haliastur sphenurus,0.775,NA
Haliastur indus,0.5835,NA
Milvus migrans,0.587,NA
Accipiter fasciatus,0.403,NA
Accipiter cirrocephalus,0.1825,NA
Accipiter novaehollandiae,0.515,NA
Circus approximans,0.74,NA
Aquila audax,3.814,NA
Hieraaetus morphnoides,0.815,NA
Falco cenchroides,0.185,NA
Falco berigora,0.5475,NA
Falco longipennis,0.2485,NA
Falco subniger,0.765,NA
Falco peregrinus,0.715,NA
Grus antigone,5.75,NA
Grus rubicunda,6.2,NA
Porphyrio porphyrio,0.9945,NA
Lewinia pectoralis,0.0875,NA
Gallirallus philippensis,0.1815,NA
Porzana pusilla,0.037,NA
Porzana fluminea,0.06,NA
Amaurornis moluccana,0.1685,NA
Tribonyx ventralis,0.39,NA
Gallinula tenebrosa,0.528,NA
Fulica atra,0.568,NA
Ardeotis australis,5.5,NA
Burhinus grallarius,0.695,NA
Esacus magnirostris,1,NA
Haematopus longirostris,0.596,NA
Recurvirostra novaehollandiae,0.33,NA
Cladorhynchus leucocephalus,0.24,NA
Pluvialis fulva,0.1475,NA
Pluvialis squatarola,0.25,NA
Charadrius ruficapillus,0.0405,NA
Charadrius bicinctus,0.07,NA
Charadrius mongolus,0.0635,NA
Charadrius leschenaultii,0.0875,NA
Charadrius australis,0.084,NA
Elseyornis melanops,0.0325,NA
Erythrogonys cinctus,0.0475,NA
Vanellus tricolor,0.184,NA
Vanellus miles,0.31,NA
Pedionomus torquatus,0.0675,NA
Irediparra gallinacea,0.108,NA
Rostratula australis,0.1255,NA
Gallinago hardwickii,0.19,NA
Limosa lapponica,0.316,NA
Numenius phaeopus,0.35,NA
Numenius madagascariensis,0.9,NA
Xenus cinereus,0.075,NA
Actitis hypoleucos,0.048,NA
Tringa brevipes,0.125,NA
Tringa incana,0.11,NA
Tringa nebularia,0.17,NA
Tringa stagnatilis,0.07,NA
Tringa glareola,0.055,NA
Arenaria interpres,0.115,NA
Calidris tenuirostris,0.155,NA
Calidris canutus,0.12,NA
Calidris alba,0.06,NA
Calidris ruficollis,0.025,NA
Calidris subminuta,0.025,NA
Calidris melanotos,0.06,NA
Calidris acuminata,0.065,NA
Calidris ferruginea,0.057,NA
Limicola falcinellus,0.04,NA
Phalaropus lobatus,0.034,NA
Turnix melanogaster,0.0825,NA
Turnix varius,0.08,NA
Turnix pyrrhothorax,0.0515,NA
Turnix velox,0.046,NA
Stiltia isabella,0.0545,NA
Stercorarius pomarinus,0.7,NA
Stercorarius parasiticus,0.465,NA
Stercorarius longicaudus,0.295,NA
Anous stolidus,0.185,NA
Anous minutus,0.11,NA
Onychoprion fuscata,0.176,NA
Sternula albifrons,0.0475,NA
Hydroprogne caspia,0.5655,NA
Chlidonias hybrida,0.085,NA
Sterna dougallii,0.095,NA
Sterna sumatrana,0.09,NA
Sterna hirundo,0.12,NA
Sterna vittata,0.15,NA
Thalasseus bergii,0.31,NA
Larus pacificus,1.187,NA
Larus dominicanus,0.94,NA
Chroicocephalus novaehollandiae,0.3125,NA
Probosciger aterrimus,0.806,NA
Calyptorhynchus banksii,0.67,NA
Calyptorhynchus lathami,0.463,NA
Calyptorhynchus funereus,0.66,NA
Calyptorhynchus latirostris,0.65,NA
Calyptorhynchus baudinii,0.66,NA
Callocephalon fimbriatum,0.25,NA
Lophochroa leadbeateri,0.387,NA
Eolophus roseicapillus,0.312,NA
Cacatua tenuirostris,0.565,NA
Cacatua pastinator,0.765,NA
Cacatua sanguinea,0.472,NA
Cacatua galerita,0.728,NA
Nymphicus hollandicus,0.08815,NA
Trichoglossus haematodus,0.125,NA
Trichoglossus chlorolepidotus,0.0869,NA
Psitteuteles versicolor,0.0536,NA
Glossopsitta concinna,0.07,NA
Glossopsitta pusilla,0.0415,NA
Glossopsitta porphyrocephala,0.045,NA
Cyclopsitta diophthalma,0.0366,NA
Eclectus roratus,0.507,NA
Geoffroyus geoffroyi,0.152,NA
Alisterus scapularis,0.207,NA
Aprosmictus erythropterus,0.155,NA
Polytelis swainsonii,0.145,NA
Polytelis anthopeplus,0.175,NA
Polytelis alexandrae,0.105,NA
Platycercus caledonicus,0.128,NA
Platycercus elegans,0.124,NA
Platycercus eximius,0.105,NA
Platycercus adscitus,0.1035,NA
Platycercus venustus,0.0925,NA
Platycercus icterotis,0.065,NA
Barnardius zonarius,0.1416,NA
Purpureicephalus spurius,0.115,NA
Northiella haematogaster,0.078,NA
Lathamus discolor,0.065,NA
Psephotus haematonotus,0.0625,NA
Psephotus varius,0.055,NA
Psephotus chrysopterygius,0.04115,NA
Psephotus dissimilis,0.0475,NA
Melopsittacus undulatus,0.026,NA
Neopsephotus bourkii,0.045,NA
Neophema chrysostoma,0.055,NA
Neophema elegans,0.0425,NA
Neophema petrophila,0.055,NA
Neophema pulchella,0.04,NA
Neophema splendida,0.0385,NA
Pezoporus wallicus,0.0775,NA
Centropus phasianinus,0.377,NA
Eudynamys orientalis,0.243,NA
Scythrops novaehollandiae,0.7475,NA
Chrysococcyx basalis,0.0245,NA
Chrysococcyx osculans,0.032,NA
Chrysococcyx lucidus,0.025,NA
Chrysococcyx minutillus,0.017,NA
Cacomantis castaneiventris,0.03,NA
Cacomantis flabelliformis,0.0538,NA
Cacomantis variolosus,0.038,NA
Cacomantis pallidus,0.0905,NA
Ninox strenua,1.35,NA
Ninox rufa,0.82,NA
Ninox connivens,0.522,NA
Ninox novaeseelandiae,0.234,NA
Tyto tenebricosa,0.585,NA
Tyto novaehollandiae,0.593,NA
Tyto javanica,0.36,NA
Tyto longimembris,0.3715,NA
Ceyx azureus,0.035,NA
Tanysiptera sylvia,0.047,NA
Dacelo novaeguineae,0.281,NA
Dacelo leachii,0.31,NA
Syma torotoro,0.0395,NA
Todiramphus macleayii,0.038,NA
Todiramphus pyrrhopygius,0.0555,NA
Todiramphus sanctus,0.0515,NA
Todiramphus chloris,0.067,NA
Merops ornatus,0.031,NA
Eurystomus orientalis,0.1875,NA
Pitta versicolor,0.1,NA
Menura novaehollandiae,1.024,NA
Atrichornis clamosus,0.043,NA
Cormobates leucophaea,0.0207,NA
Climacteris erythrops,0.023,NA
Climacteris picumnus,0.0318,NA
Climacteris melanura,0.032,NA
Climacteris rufa,0.033,NA
Ailuroedus maculosus,0.1692,NA
Ailuroedus crassirostris,0.21,NA
Scenopoeetes dentirostris,0.1655,NA
Amblyornis newtonianus,0.079,NA
Sericulus chrysocephalus,0.104,NA
Ptilonorhynchus violaceus,0.198,NA
Ptilonorhynchus maculatus,0.147,NA
Ptilonorhynchus nuchalis,0.2,NA
Malurus cyaneus,0.0106,NA
Malurus splendens,0.0092,NA
Malurus coronatus,0.0105,NA
Malurus melanocephalus,0.0073,NA
Malurus leucopterus,0.0075,NA
Malurus lamberti,0.008,NA
Malurus pulcherrimus,0.00925,NA
Malurus elegans,0.00975,NA
Stipiturus malachurus,0.0076,NA
Amytornis goyderi,0.017,NA
Dasyornis brachypterus,0.045,NA
Dasyornis broadbenti,0.074,NA
Pycnoptilus floccosus,0.0292,NA
Origma solitaria,0.0145,NA
Sericornis citreogularis,0.0169,NA
Sericornis frontalis,0.013,NA
Sericornis magnirostra,0.01,NA
Hylacola pyrrhopygia,0.017,NA
Hylacola cauta,0.0147,NA
Calamanthus fuliginosus,0.0208,NA
Calamanthus campestris,0.014,NA
Pyrrholaemus brunneus,0.012,NA
Chthonicola sagittata,0.0135,NA
Smicrornis brevirostris,0.0057,NA
Gerygone fusca,0.006,NA
Gerygone magnirostris,0.007,NA
Gerygone chloronota,0.0065,NA
Acanthiza lineata,0.0073,NA
Acanthiza nana,0.0065,NA
Acanthiza chrysorrhoa,0.0091,NA
Acanthiza uropygialis,0.006,NA
Acanthiza reguloides,0.0074,NA
Acanthiza inornata,0.007,NA
Acanthiza ewingii,0.007,NA
Acanthiza pusilla,0.0074,NA
Aphelocephala leucopsis,0.0125,NA
Aphelocephala nigricincta,0.011,NA
Pardalotus punctatus,0.009,NA
Pardalotus striatus,0.0106,NA
Acanthorhynchus tenuirostris,0.011,NA
Certhionyx variegatus,0.027,NA
Meliphaga lewinii,0.0333,NA
Meliphaga notata,0.026,NA
Meliphaga gracilis,0.015,NA
Lichenostomus frenatus,0.035,NA
Lichenostomus hindwoodi,0.02345,NA
Lichenostomus chrysops,0.01625,NA
Lichenostomus virescens,0.0253,NA
Lichenostomus unicolor,0.031,NA
Lichenostomus flavus,0.022,NA
Lichenostomus leucotis,0.0224,NA
Lichenostomus melanops,0.0267,NA
Lichenostomus cratitius,0.02,NA
Lichenostomus keartlandi,0.015,NA
Lichenostomus ornatus,0.017,NA
Lichenostomus plumulus,0.0167,NA
Lichenostomus fuscus,0.0172,NA
Lichenostomus flavescens,0.0138,NA
Lichenostomus penicillatus,0.0177,NA
Purnella albifrons,0.0175,NA
Manorina melanophrys,0.03,NA
Manorina melanocephala,0.068,NA
Manorina flavigula,0.0603,NA
Acanthagenys rufogularis,0.05,NA
Anthochaera chrysoptera,0.072,NA
Anthochaera phrygia,0.042,NA
Anthochaera carunculata,0.1094,NA
Ramsayornis modestus,0.011,NA
Conopophila albogularis,0.012,NA
Conopophila rufogularis,0.011,NA
Epthianura tricolor,0.011,NA
Epthianura aurifrons,0.011,NA
Epthianura albifrons,0.013,NA
Ashbyia lovensis,0.018,NA
Sugomel niger,0.0095,NA
Myzomela obscura,0.013,NA
Myzomela sanguinolenta,0.008,NA
Gliciphila melanops,0.018,NA
Cissomela pectoralis,0.0095,NA
Lichmera indistincta,0.0103,NA
Phylidonyris novaehollandiae,0.0204,NA
Phylidonyris niger,0.0185,NA
Trichodere cockerelli,0.015,NA
Melithreptus validirostris,0.025,NA
Melithreptus brevirostris,0.0154,NA
Melithreptus albogularis,0.012,NA
Melithreptus lunatus,0.014,NA
Entomyzon cyanotis,0.1033,NA
Philemon buceroides,0.1109,NA
Philemon argenticeps,0.0874,NA
Philemon corniculatus,0.1,NA
Philemon citreogularis,0.0622,NA
Xanthotis macleayana,0.032,NA
Xanthotis flaviventer,0.035,NA
Plectorhyncha lanceolata,0.04,NA
Grantiella picta,0.0215,NA
Pomatostomus temporalis,0.0695,NA
Pomatostomus halli,0.04,NA
Pomatostomus superciliosus,0.041,NA
Pomatostomus ruficeps,0.055,NA
Orthonyx temminckii,0.059,NA
Orthonyx spaldingii,0.1492,NA
Cinclosoma punctatum,0.1116,NA
Cinclosoma cinnamomeum,0.0568,NA
Psophodes olivaceus,0.0599,NA
Psophodes cristatus,0.04,NA
Psophodes occidentalis,0.039,NA
Daphoenositta chrysoptera,0.0118,NA
Coracina maxima,0.1395,NA
Coracina novaehollandiae,0.115,NA
Coracina papuensis,0.0657,NA
Coracina tenuirostris,0.0666,NA
Lalage sueurii,0.0275,NA
Falcunculus frontatus,0.028,NA
Pachycephala olivacea,0.04,NA
Pachycephala rufogularis,0.037,NA
Pachycephala pectoralis,0.0274,NA
Pachycephala simplex,0.0175,NA
Pachycephala rufiventris,0.0226,NA
Colluricincla megarhyncha,0.0372,NA
Colluricincla harmonica,0.0676,NA
Oreoica gutturalis,0.0633,NA
Sphecotheres vieilloti,0.1226,NA
Oriolus flavocinctus,0.0977,NA
Oriolus sagittatus,0.095,NA
Artamus leucorynchus,0.041,NA
Artamus personatus,0.0347,NA
Artamus superciliosus,0.035,NA
Artamus cinereus,0.0377,NA
Artamus cyanopterus,0.035,NA
Artamus minor,0.017,NA
Melloria quoyi,0.1744,NA
Cracticus torquatus,0.0907,NA
Cracticus nigrogularis,0.1241,NA
Cracticus tibicen,0.2798,NA
Strepera graculina,0.3048,NA
Strepera fuliginosa,0.3604,NA
Strepera versicolor,0.3845,NA
Dicrurus bracteatus,0.0826,NA
Rhipidura rufifrons,0.0097,NA
Rhipidura albiscapa,0.0078,NA
Rhipidura rufiventris,0.014,NA
Rhipidura leucophrys,0.0207,NA
Corvus coronoides,0.6344,NA
Corvus mellori,0.53,NA
Corvus bennetti,0.4,NA
Corvus orru,0.5819,NA
Myiagra rubecula,0.0126,NA
Myiagra cyanoleuca,0.017,NA
Myiagra alecto,0.0205,NA
Myiagra inquieta,0.017,NA
Carterornis leucotis,0.0121,NA
Monarcha melanopsis,0.023,NA
Symposiarchus trivirgatus,0.0131,NA
Grallina cyanoleuca,0.088,NA
Arses telescophthalmus,0.013,NA
Corcorax melanorhamphos,0.36,NA
Struthidea cinerea,0.135,NA
Ptiloris paradiseus,0.12,NA
Ptiloris victoriae,0.0965,NA
Ptiloris magnificus,0.134,NA
Microeca fascinans,0.0145,NA
Microeca flavigaster,0.0123,NA
Petroica boodang,0.0133,NA
Petroica goodenovii,0.009,NA
Petroica phoenicea,0.013,NA
Petroica rosea,0.008,NA
Petroica rodinogaster,0.0099,NA
Melanodryas cucullata,0.0209,NA
Melanodryas vittata,0.027,NA
Tregellasia capito,0.0136,NA
Tregellasia leucops,0.0148,NA
Eopsaltria australis,0.0199,NA
Eopsaltria griseogularis,0.0201,NA
Eopsaltria georgiana,0.0185,NA
Peneonanthe pulverulenta,0.02,NA
Heteromyias cinereifrons,0.035,NA
Poecilodryas superciliosa,0.0179,NA
Poecilodryas cerviniventris,0.0199,NA
Drymodes brunneopygia,0.0335,NA
Mirafra javanica,0.0225,NA
Cisticola exilis,0.0075,NA
Acrocephalus orientalis,0.0173,NA
Megalurus gramineus,0.0135,NA
Megalurus mathewsi,0.029,NA
Megalurus cruralis,0.0515,NA
Zosterops lateralis,0.0118,NA
Cheramoeca leucosterna,0.0141,NA
Hirundo rustica,0.017,NA
Hirundo neoxena,0.015,NA
Petrochelidon ariel,0.0105,NA
Petrochelidon nigricans,0.0167,NA
Zoothera lunulata,0.1083,NA
Zoothera heinei,0.085,NA
Dicaeum hirundinaceum,0.009,NA
Cinnyris jugularis,0.009,NA
Taeniopygia guttata,0.012,NA
Taeniopygia bichenovii,0.009,NA
Poephila acuticauda,0.0145,NA
Poephila cincta,0.015,NA
Poephila personata,0.0125,NA
Neochmia phaeton,0.0099,NA
Neochmia temporalis,0.0094,NA
Stagonopleura bella,0.014,NA
Erythrura trichroa,0.0145,NA
Erythrura gouldiae,0.0145,NA
Anthus novaeseelandiae,0.0264,NA
Motacilla sp.,0.023,NA
Haematopus longirostris,0.6781,NA
Haematopus fuliginosus,0.7594,NA
Himantopus himantopus,0.1744,NA
Recurvirostra novaehollandiae,0.3244,NA
Pluvialis fulva,0.1291,NA
Pluvialis squatarola,0.2752,NA
Charadrius ruficapillus,0.0375,NA
Charadrius bicinctus,0.0586,NA
Elseyornis melanops,0.0303,NA
Thinornis rubricollis,0.1008,NA
Erythrogonys cinctus,0.0484,NA
Vanellus tricolor,0.1842,NA
Vanellus miles,0.3598,NA
Gallinago hardwickii,0.1537,NA
Limosa lapponica,0.3336,NA
Numenius phaeopus,0.3801,NA
Numenius madagascariensis,0.7641,NA
Actitis hypoleucos,0.0433,NA
Tringa brevipes,0.1237,NA
Tringa nebularia,0.1735,NA
Tringa stagnatilis,0.0703,NA
Arenaria interpres,0.1115,NA
Calidris alba,0.0545,NA
Calidris ruficollis,0.0268,NA
Calidris melanotos,0.0609,NA
Calidris acuminata,0.0646,NA
Calidris ferruginea,0.0552,NA
Anseranas semipalmata,NA,NA
Anseranas semipalmata,NA,NA
Dendrocygna viduata,NA,NA
Dendrocygna viduata,NA,NA
Cygnus olor,NA,NA
Cygnus olor,NA,NA
Cygnus atratus,NA,NA
Cygnus atratus,NA,NA
Branta canadensis,NA,NA
Branta canadensis,NA,NA
Chloephaga melanoptera,NA,NA
Chloephaga melanoptera,NA,NA
Alopochen aegyptiacus,NA,NA
Alopochen aegyptiacus,NA,NA
Tadorna ferruginea,NA,NA
Tadorna ferruginea,NA,NA
Tadorna tadornoides,NA,NA
Tadorna tadornoides,NA,NA
Tadorna variegate,NA,NA
Tadorna variegate,NA,NA
Tadorna tadorna,NA,NA
Tadorna tadorna,NA,NA
Callonetta leucophrys,NA,NA
Callonetta leucophrys,NA,NA
Chenonetta jubata,NA,NA
Chenonetta jubata,NA,NA
Hymenolaimus malacorhynchos,NA,NA
Hymenolaimus malacorhynchos,NA,NA
Anas gracilis,NA,NA
Anas gracilis,NA,NA
Anas castanea,NA,NA
Anas castanea,NA,NA
Anas querquedula,NA,NA
Anas querquedula,NA,NA
Aythya valisineria,NA,NA
Aythya valisineria,NA,NA
Aythya americana,NA,NA
Aythya americana,NA,NA
Bucephala clangula,NA,NA
Bucephala clangula,NA,NA
Bucephala islandica,NA,NA
Bucephala islandica,NA,NA
Cymbirhynchus macrorhynchus,NA,NA
Chamaeza campanisona,NA,NA
Pyroderus scutatus,NA,NA
Colonia colonus,NA,NA
Phytotoma rara,NA,NA
Menura novaehollandiae,0.91,NA
Garrulax leucolophus,NA,NA
Gymnorhina tibicen,NA,NA
Corvus albus,NA,NA
Corvus ruficollis,NA,NA
Corvus albicollis,NA,NA
Corvus abyssinicus,NA,NA
Corvus capensis,NA,NA
Urocissa erythrorhyncha,NA,NA
Cyanocorax chrysops,NA,NA
Dendrocitta cinerascense,NA,NA
Cyanopica cyanus,NA,NA
Pica nuttalli,0.16,NA
Ptilostomus afer,0.13,NA
Corvus crassirostris,NA,NA
Corvus rhipidurus,0.745,NA
Corvus cryptoleucus,0.535,NA
Corvus torquatus,NA,NA
Corvus caurinus,0.39,NA
Corvus ossifragus,0.285,NA
Corvus imparatus,NA,NA
Corvus palmarum,0.29,NA
Corvus nasicus,0.36,NA
Corvus leucognaphalus,NA,NA
Corvus jamaicensis,NA,NA
Corvus enca,0.24,NA
Corvus orru,0.435,NA
Corvus bennetti,0.43,NA
Corvus validus,NA,NA
Corvus tristis,0.635,NA
Corvus moneduloides,0.275,NA
Corvus tropicus,NA,NA
Corvus macrorhynchos,0.49,NA
Corvus splendens,0.295,NA
Pyrrhocorax graculus,0.15,NA
Pyrrhocorax pyrrhocorax,0.3,NA
Podoces hendersoni,0.12,NA
Podoces panderi,NA,NA
Nucifraga caryocatactes,0.16,NA
Nucifraga columbiana,NA,NA
Gymnorhinus cyanocephalus,0.105,NA
Cyanopica cyanus,0.07,NA
Aphelocoma coerulescens,0.08,NA
Aphelocoma ultramarina,0.125,NA
Cyanolyca argentigula,0.2,NA
Cyanolyca viridicyanea,0.1,NA
Cissilopha beecheii,0.195,NA
Cissilopha sanblasiana,0.11,NA
Cissilopha melanocyanea,0.11,NA
Cyanocorax yncas,0.08,NA
Cyanocorax mystacalis,NA,NA
Cyanocorax affinis,0.21,NA
Cyanocorax chrysops,0.155,NA
Cyanocorax cayanus,0.175,NA
Cyanocorax violaceus,0.26,NA
Cyanocorax cyanomelas,0.22,NA
Cyanocorax caeruleus,0.27,NA
Psilorhinus morio,0.205,NA
Calocitta formosa,0.21,NA
Cyanocitta stelleri,0.13,NA
Perisoreus infaustus,0.085,NA
Perisoreus canadensis,0.075,NA
Platylophus galericulatus,NA,NA
Crypsirina temia,NA,NA
Dendrocitta formosae,0.105,NA
Dendrocitta occipitalis,NA,NA
Urocissa caerulea,0.215,NA
Cissa chinensis,0.125,NA
Manduca sexta,NA,NA
Macroglossum stellatarum,NA,NA
Deilephila elpenor,NA,NA
Myrmecia croslandi,2.61E-05,NA
Myrmecia croslandi,1.52E-05,NA
Myrmecia croslandi,2.36E-05,NA
Myrmecia croslandi,1.43E-05,NA
Myrmecia croslandi,1.72E-05,NA
Myrmecia croslandi,2.10E-05,NA
Myrmecia croslandi,2.49E-05,NA
Myrmecia gulosa,2.46E-05,NA
Myrmecia gulosa,7.36E-05,NA
Myrmecia gulosa,2.34E-05,NA
Myrmecia gulosa,7.02E-05,NA
Myrmecia gulosa,0.000110076,NA
Myrmecia gulosa,9.88E-05,NA
Myrmecia gulosa,1.99E-05,NA
Myrmecia gulosa,2.91E-05,NA
Myrmecia gulosa,5.51E-05,NA
Myrmecia gulosa,6.82E-05,NA
Myrmecia gulosa,4.12E-05,NA
Myrmecia gulosa,0.000109074,NA
Myrmecia gulosa,2.60E-05,NA
Myrmecia gulosa,8.90E-05,NA
Myrmecia gulosa,4.80E-05,NA
Myrmecia gulosa,8.09E-05,NA
Myrmecia gulosa,7.61E-05,NA
Myrmecia gulosa,2.60E-05,NA
Myrmecia gulosa,8.22E-05,NA
Myrmecia gulosa,3.68E-05,NA
Myrmecia nigrocincta,1.95E-05,NA
Myrmecia nigrocincta,1.62E-05,NA
Myrmecia nigrocincta,1.69E-05,NA
Myrmecia nigrocincta,1.96E-05,NA
Myrmecia nigrocincta,1.19E-05,NA
Myrmecia nigrocincta,1.56E-05,NA
Myrmecia tarsata,3.25E-05,NA
Myrmecia tarsata,9.37E-05,NA
Myrmecia tarsata,5.64E-05,NA
Myrmecia tarsata,9.40E-05,NA
Myrmecia tarsata,8.35E-05,NA
Myrmecia tarsata,3.84E-05,NA
Myrmecia tarsata,3.08E-05,NA
Myrmecia tarsata,7.69E-05,NA
Myrmecia tarsata,5.80E-05,NA
Myrmecia tarsata,7.13E-05,NA
Myrmecia tarsata,6.07E-05,NA
Myrmecia tarsata,8.59E-05,NA
Myrmecia tarsata,6.56E-05,NA
Myrmecia tarsata,4.09E-05,NA
Myrmecia tarsata,9.57E-05,NA
Myrmecia tarsata,3.58E-05,NA
Myrmecia midas,5.34E-05,NA
Myrmecia midas,0.00017698,NA
Myrmecia midas,0.00017355,NA
Myrmecia midas,5.66E-05,NA
Myrmecia midas,0.000106208,NA
Myrmecia midas,7.23E-05,NA
Myrmecia midas,4.20E-05,NA
Myrmecia midas,9.71E-05,NA
Myrmecia midas,0.000147656,NA
Myrmecia midas,4.17E-05,NA
Myrmecia midas,2.43E-05,NA
Myrmecia midas,2.22E-05,NA
Myrmecia midas,5.74E-05,NA
Myrmecia midas,6.69E-05,NA
Myrmecia midas,0.000100186,NA
Myrmecia midas,8.39E-05,NA
Myrmecia midas,0.000105375,NA
Myrmecia midas,7.28E-05,NA
Myrmecia midas,3.40E-05,NA
Myrmecia midas,4.63E-05,NA
Myrmecia midas,7.02E-05,NA
Myrmecia midas,8.91E-05,NA
Myrmecia midas,8.72E-05,NA
Myrmecia nigriceps,2.98E-05,NA
Myrmecia nigriceps,3.79E-05,NA
Myrmecia nigriceps,4.05E-05,NA
Myrmecia nigriceps,5.19E-05,NA
Myrmecia nigriceps,7.71E-05,NA
Myrmecia nigriceps,7.43E-05,NA
Myrmecia nigriceps,8.29E-05,NA
Myrmecia nigriceps,9.98E-05,NA
Myrmecia nigriceps,8.95E-05,NA
Myrmecia nigriceps,8.37E-05,NA
Myrmecia pyriformis,4.01E-05,NA
Myrmecia pyriformis,4.90E-05,NA
Myrmecia pyriformis,6.26E-05,NA
Myrmecia pyriformis,7.71E-05,NA
Myrmecia pyriformis,8.39E-05,NA
Myrmecia pyriformis,9.45E-05,NA
Myrmecia pyriformis,4.56E-05,NA
Myrmecia pyriformis,2.23E-05,NA
Myrmecia pyriformis,2.67E-05,NA
Myrmecia pyriformis,0.000119796,NA
Myrmecia pyriformis,0.000102054,NA
Myrmecia pyriformis,0.000127825,NA
Myrmecia pyriformis,0.000121093,NA
Myrmecia pyriformis,2.78E-05,NA
Myrmecia pyriformis,3.28E-05,NA
Myrmecia pyriformis,5.25E-05,NA
Myrmecia pyriformis,6.00E-05,NA
Myrmecia pyriformis,7.21E-05,NA
Angiopolybia pallens,NA,NA
Angiopolybia pallens,NA,NA
Miscocyttarus mastigophorus,NA,NA
Miscocyttarus mastigophorus,NA,NA
Polistes instabilis,NA,NA
Polistes instabilis,NA,NA
Schistocerca gregaria,NA,NA
Drosophila melanogaster,NA,NA
Agelaia xanthopus,NA,NA
Agelaia xanthopus,NA,NA
Agelaia xanthopus,NA,NA
Agelaia xanthopus,NA,NA
Agelaia xanthopus,NA,NA
