Species,BodyMass,Longevity
Nycticorax nycticorax,645.5,21.1
Oporornis agilis,13.3,4.3
Oreortyx pictus,231.2,NA
Oreoscoptes montanus,42.2,NA
Oreothlypis celata,9.1,NA
Oreothlypis luciae,6.7,NA
Oreothlypis peregrina,10.1,NA
Oreothlypis ruficapilla,8.2,NA
Oreothlypis virginiae,8.1,NA
Oxyura jamaicensis,479,13.6
Pandion haliaetus,1288.8,25
Parabuteo unicinctus,821.6,25
Parkesia motacilla,18.6,8
Parkesia noveboracensis,17.4,8.9
Passerculus sandwichensis,17.9,6.858333334
Passerella iliaca,32.2,10
Passerina amoena,14.7,9.916666667
Passerina caerulea,27.9,10.2
Passerina ciris,17.3,12
Passerina cyanea,14.3,11
Patagioenas fasciata,270,29.2
Pelecanus erythrorhynchos,6165,31.5
Pelecanus occidentalis,2622.5,31.08333333
Perisoreus canadensis,68.8,17.16666667
Petrochelidon fulva,15.2,9.3
Petrochelidon pyrrhonota,21.7,11
Peucaea aestivalis,19,3
Peucaea cassinii,18.2,NA
Phainopepla nitens,25,NA
Phalacrocorax auritus,1929,17.8
Phalacrocorax brasilianus,1022,12.6
Phalaenoptilus nuttallii,36.3,3
Phalaropus lobatus,34.9,7.45
Phalaropus tricolor,53.2,10
Pheucticus ludovicianus,46,24
Pheucticus melanocephalus,45.1,25
Pica hudsonia,168.9,9.333333333
Pica nuttalli,163.8,10
Picoides albolarvatus,58.4,NA
Picoides arcticus,71.3,4.916666667
Picoides borealis,41.3,13.8
Picoides dorsalis,55.8,6
Picoides pubescens,26.8,NA
Picoides scalaris,33.6,4.5
Picoides villosus,66.7,15.867
Pinicola enucleator,58.6,9.725
Pipilo chlorurus,27.7,7.7
Pipilo erythrophthalmus,40.8,11.81666667
Pipilo maculatus,38.7,11
Piranga flava,37,NA
Piranga ludoviciana,30.7,15.3
Piranga olivacea,29.4,11.91666667
Piranga rubra,27.9,7.916666667
Platalea ajaja,1482.5,7.8
Plegadis chihi,517.8,14.5
Plegadis falcinellus,552.5,17.06666667
Podiceps auritus,357.7,6.458333333
Podiceps grisegena,1026.7,4.8
Podiceps nigricollis,274.8,10.29166667
Podilymbus podiceps,376.5,NA
Poecile atricapillus,12.1,12.4
Poecile carolinensis,10.5,10.9
Poecile gambeli,11.2,10.1
Poecile hudsonicus,10.5,5.016666667
Poecile rufescens,9.3,8.4
Polioptila caerulea,5.7,4.2
Polioptila melanura,5.4,NA
Pooecetes gramineus,24,7.491666667
Porphyrio martinicus,153.1,7.333333333
Porzana carolina,68.8,NA
Progne subis,54,13.8
Protonotaria citrea,15.5,NA
Psaltriparus minimus,5.7,9.083333333
Pyrocephalus rubinus,13.6,5.5
